station_id,wmo_id,latitude,longitude,elevation_m,site,state,country,site_type
CFU4,,58.71390152,-113.8759995,790,Garden River Airport,CA-AB,Garden River,
US-1298,,58.727326,-156.940752,60,PAF Cannery Airport,US-AK,South Naknek,
5NK,,58.73289871,-157.0200043,70,Naknek Airport,US-AK,Naknek,
SE-0026,,58.73342,15.603996,0,Finspångs flygfält,SE-E,,
4AK9,,58.73429871,-157.0070038,50,Tibbetts Airport,US-AK,Naknek,
CYYQ,,58.73920059,-94.06500244,94,Churchill Airport,CA-MB,Churchill,
ESCY,,58.74560165,17.0489006,7,Nyge Airport,SE-D,Nyköping,
UEEG,,58.756895,130.6071,0,Chagda Airport,RU-SA,,
CYPY,,58.76720047,-111.1169968,761,Fort Chipewyan Airport,CA-AB,Fort Chipewyan,
ESKN,,58.78860092,16.91220093,140,Stockholm Skavsta Airport,SE-D,Stockholm / Nyköping,
NO-0072,,58.7899624,7.3558677,0,Airlift Ljosland,NO-10,Ljosland,
ESKX,,58.79079819,16.57119942,0,Björkvik Air Base,SE-D,Björkvik,
GB-0070,,58.791779,-3.216076,30,Hoy/Longhope Airfield,GB-SCT,Orkney Isle,
RU-0416,,58.80262868,33.37341785,0,Lyubytino Airstrip,RU-NGR,Lyubytino,
KKU,,58.81119919,-158.5590057,30,Ekuk Airport,US-AK,Ekuk,
RU-5376,,58.814999,28.0133,200,Smuravyovo Air Base,RU-PSK,Gdov,
CBL3,,58.81669998,-122.7829971,1625,Gordon Field,CA-BC,Fort Nelson,
CER9,,58.825217,-122.900345,1255,Fort Nelson (Parker Lake) Seaplane Base,CA-BC,Fort Nelson,
GB-FLH,,58.82580185,-3.142780066,50,Flotta Isle Airport,GB-SCT,Flotta Isle,
CA-0137,,58.83330154,-121.4000015,0,Mobil Sierra Airport,CA-BC,Fort Nelson,
PFCL,,58.83369827,-158.529007,80,Clarks Point Airport,US-AK,Clarks Point,
CYYE,,58.83639908,-122.5970001,1253,Fort Nelson Airport,CA-BC,Fort Nelson,
RU-0414,,58.84221926,30.37874222,0,Borshchovo Airstrip,RU-LEN,Oredezh,
CBK7,,58.84939957,-125.2399979,2400,Mile 422 (Alaska Highway) Airport,CA-BC,Toad River,
EENI,,58.86500168,25.72999954,233,Nurmsi Airport,EE-51,Nurmsi,
5KO,,58.87009811,-157.0099945,30,Koggiung Airport,US-AK,Koggiung,
93AK,,58.87200165,-158.4720001,25,The Queens Airport,US-AK,Queens,
ENZV,,58.87670135,5.63778019,29,Stavanger Airport Sola,NO-11,Stavanger,
GB-0400,,58.8876,-2.89184,65,Lamb Holm Airfield,GB-SCT,,
NO-0006,,58.89440155,5.699440002,0,Stavanger Airport Forus,NO-11,Stavanger,
SE-0001,,58.89861679,17.49847412,30,Trosa Troslanda airfield,SE-D,,
PAOC,,58.9065,-157.714,137,Portage Creek Airport,US-AK,Portage Creek,
EE-0002,,58.911098,23.488899,69,Haapsalu Air Base,EE-57,Haapsalu,
6AK1,,58.9117012,-161.7140045,100,Platinum Mine Airport,US-AK,Platinum,
CA-0374,,58.91666794,-111.9666672,0,Sweetgrass Landing Airport,CA-AB,,
